accountId,amount,bankTransactionCode,bookingDateTime,card,counterparty,creditDebitIndicator,merchant,status,transactionId,transactionInformation,transactionLocation,valueDateTime
acc-1909,"{'amount': '4642.48', 'currency': 'RUB'}",{'code': '01'},2025-11-06T15:17:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Садовая, д. 3', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0182', 'name': 'ВкусВилл'}",completed,tx-abank-00224036,ВкусВилл - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-06T15:17:17.472711Z
acc-1909,"{'amount': '3827.33', 'currency': 'RUB'}",{'code': '01'},2025-11-05T21:53:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 9', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0128', 'name': 'Перекрёсток'}",completed,tx-abank-00224034,Перекрёсток - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-05T21:53:17.472711Z
acc-1909,"{'amount': '4533.39', 'currency': 'RUB'}",{'code': '01'},2025-11-03T08:15:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 9', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0336', 'name': 'Dodopizza'}",completed,tx-abank-00224031,Dodopizza - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-03T08:15:17.472711Z
acc-1909,"{'amount': '6976.94', 'currency': 'RUB'}",{'code': '01'},2025-11-01T11:56:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Невский, д. 10', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0244', 'name': 'Макдоналдс'}",completed,tx-abank-00224029,Макдоналдс - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-01T11:56:17.472711Z
acc-1909,"{'amount': '3544.76', 'currency': 'RUB'}",{'code': '02'},2025-10-31T23:59:17.472711Z,,,Credit,,completed,tx-abank-00224089,Проценты по депозиту №dep-team081-9,"{'city': 'Москва', 'country': 'RUS'}",2025-10-31T23:59:17.472711Z
acc-1909,"{'amount': '4155.64', 'currency': 'RUB'}",{'code': '01'},2025-10-31T17:31:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Невский, д. 6', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0006', 'name': 'Пятёрочка'}",completed,tx-abank-00224021,Пятёрочка - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-31T17:31:17.472711Z
acc-1909,"{'amount': '3544.76', 'currency': 'RUB'}",{'code': '02'},2025-10-30T23:59:17.472711Z,,,Credit,,completed,tx-abank-00224088,Проценты по депозиту №dep-team081-9,"{'city': 'Москва', 'country': 'RUS'}",2025-10-30T23:59:17.472711Z
acc-1909,"{'amount': '270347.62', 'currency': 'RUB'}",{'code': '02'},2025-10-30T14:39:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224020,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-10-30T14:39:17.472711Z
acc-1909,"{'amount': '3544.76', 'currency': 'RUB'}",{'code': '02'},2025-10-29T23:59:17.472711Z,,,Credit,,completed,tx-abank-00224087,Проценты по депозиту №dep-team081-9,"{'city': 'Москва', 'country': 'RUS'}",2025-10-29T23:59:17.472711Z
acc-1909,"{'amount': '3095.65', 'currency': 'RUB'}",{'code': '01'},2025-10-29T22:33:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Невский, д. 10', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0189', 'name': 'ВкусВилл'}",completed,tx-abank-00224024,ВкусВилл - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-29T22:33:17.472711Z
acc-1909,"{'amount': '1516.10', 'currency': 'RUB'}",{'code': '01'},2025-10-29T20:16:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Невский, д. 10', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0129', 'name': 'Перекрёсток'}",completed,tx-abank-00224026,Перекрёсток - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-29T20:16:17.472711Z
acc-1909,"{'amount': '3544.76', 'currency': 'RUB'}",{'code': '02'},2025-10-28T23:59:17.472711Z,,,Credit,,completed,tx-abank-00224086,Проценты по депозиту №dep-team081-9,"{'city': 'Москва', 'country': 'RUS'}",2025-10-28T23:59:17.472711Z
acc-1909,"{'amount': '149500.58', 'currency': 'RUB'}",{'code': '02'},2025-10-28T08:52:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224025,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-10-28T08:52:17.472711Z
acc-1909,"{'amount': '3544.76', 'currency': 'RUB'}",{'code': '02'},2025-10-27T23:59:17.472711Z,,,Credit,,completed,tx-abank-00224085,Проценты по депозиту №dep-team081-9,"{'city': 'Москва', 'country': 'RUS'}",2025-10-27T23:59:17.472711Z
acc-1909,"{'amount': '5177.31', 'currency': 'RUB'}",{'code': '01'},2025-10-27T22:02:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Садовая, д. 3', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0370', 'name': 'Сбарро'}",completed,tx-abank-00224022,Сбарро - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-27T22:02:17.472711Z
acc-1909,"{'amount': '1395.76', 'currency': 'RUB'}",{'code': '01'},2025-10-27T12:31:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0048', 'name': 'Магнит'}",completed,tx-abank-00224027,Магнит - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-27T12:31:17.472711Z
acc-1909,"{'amount': '3735.86', 'currency': 'RUB'}",{'code': '01'},2025-10-27T08:10:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Тверская, д. 4', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0416', 'name': 'Якитория'}",completed,tx-abank-00224023,Якитория - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-27T08:10:17.472711Z
acc-1909,"{'amount': '3544.76', 'currency': 'RUB'}",{'code': '02'},2025-10-26T23:59:17.472711Z,,,Credit,,completed,tx-abank-00224084,Проценты по депозиту №dep-team081-9,"{'city': 'Москва', 'country': 'RUS'}",2025-10-26T23:59:17.472711Z
acc-1909,"{'amount': '164427.13', 'currency': 'RUB'}",{'code': '02'},2025-10-26T12:41:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224028,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-10-26T12:41:17.472711Z
acc-1909,"{'amount': '3544.76', 'currency': 'RUB'}",{'code': '02'},2025-10-25T23:59:17.472711Z,,,Credit,,completed,tx-abank-00224083,Проценты по депозиту №dep-team081-9,"{'city': 'Москва', 'country': 'RUS'}",2025-10-25T23:59:17.472711Z
acc-1909,"{'amount': '91231.38', 'currency': 'RUB'}",{'code': '02'},2025-10-24T15:30:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224015,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-10-24T15:30:17.472711Z
acc-1909,"{'amount': '17666.66', 'currency': 'RUB'}",{'code': '01'},2025-10-23T14:52:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1362', 'name': 'AliExpress'}",completed,tx-abank-00224011,AliExpress - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-23T14:52:17.472711Z
acc-1909,"{'amount': '4055.51', 'currency': 'RUB'}",{'code': '01'},2025-10-23T10:12:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 5', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0274', 'name': 'KFC'}",completed,tx-abank-00224019,KFC - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-23T10:12:17.472711Z
acc-1909,"{'amount': '11486.02', 'currency': 'RUB'}",{'code': '01'},2025-10-21T10:43:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1361', 'name': 'Яндекс.Маркет'}",completed,tx-abank-00224018,Яндекс.Маркет - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-21T10:43:17.472711Z
acc-1909,"{'amount': '1775.56', 'currency': 'RUB'}",{'code': '01'},2025-10-20T22:10:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Невский, д. 6', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0125', 'name': 'Перекрёсток'}",completed,tx-abank-00224016,Перекрёсток - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-20T22:10:17.472711Z
acc-1909,"{'amount': '9691.69', 'currency': 'RUB'}",{'code': '01'},2025-10-19T19:53:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0368', 'name': 'Сбарро'}",completed,tx-abank-00224013,Сбарро - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-19T19:53:17.472711Z
acc-1909,"{'amount': '2037.38', 'currency': 'RUB'}",{'code': '01'},2025-10-19T19:36:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Садовая, д. 3', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0092', 'name': 'Лента'}",completed,tx-abank-00224014,Лента - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-19T19:36:17.472711Z
acc-1909,"{'amount': '141961.04', 'currency': 'RUB'}",{'code': '02'},2025-10-19T08:27:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224012,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-10-19T08:27:17.472711Z
acc-1909,"{'amount': '31599.00', 'currency': 'RUB'}",{'code': '01'},2025-10-18T23:09:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1362', 'name': 'AliExpress'}",completed,tx-abank-00224017,AliExpress - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-18T23:09:17.472711Z
acc-1909,"{'amount': '8890.41', 'currency': 'RUB'}",{'code': '01'},2025-10-16T22:44:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Невский, д. 2', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0236', 'name': 'Макдоналдс'}",completed,tx-abank-00224008,Макдоналдс - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-16T22:44:17.472711Z
acc-1909,"{'amount': '1786.05', 'currency': 'RUB'}",{'code': '01'},2025-10-13T13:19:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0220', 'name': 'Ашан'}",completed,tx-abank-00224007,Ашан - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-13T13:19:17.472711Z
acc-1909,"{'amount': '17823.06', 'currency': 'RUB'}",{'code': '01'},2025-10-11T17:04:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1362', 'name': 'AliExpress'}",completed,tx-abank-00224009,AliExpress - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-11T17:04:17.472711Z
acc-1909,"{'amount': '7566.27', 'currency': 'RUB'}",{'code': '01'},2025-10-11T08:40:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Тверская, д. 8', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0242', 'name': 'Макдоналдс'}",completed,tx-abank-00224010,Макдоналдс - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-11T08:40:17.472711Z
acc-1909,"{'amount': '38164.19', 'currency': 'RUB'}",{'code': '01'},2025-10-10T16:30:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1361', 'name': 'Яндекс.Маркет'}",completed,tx-abank-00224001,Яндекс.Маркет - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-10T16:30:17.472711Z
acc-1909,"{'amount': '166200.90', 'currency': 'RUB'}",{'code': '02'},2025-10-08T21:02:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224006,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-10-08T21:02:17.472711Z
acc-1909,"{'amount': '2232.70', 'currency': 'RUB'}",{'code': '01'},2025-10-06T14:04:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Садовая, д. 7', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0306', 'name': 'Burger King'}",completed,tx-abank-00224002,Burger King - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-06T14:04:17.472711Z
acc-1909,"{'amount': '19086.36', 'currency': 'RUB'}",{'code': '01'},2025-10-05T21:48:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1362', 'name': 'AliExpress'}",completed,tx-abank-00224004,AliExpress - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-05T21:48:17.472711Z
acc-1909,"{'amount': '166832.56', 'currency': 'RUB'}",{'code': '02'},2025-10-05T12:57:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224003,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-10-05T12:57:17.472711Z
acc-1909,"{'amount': '55895.41', 'currency': 'RUB'}",{'code': '01'},2025-10-04T17:38:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1361', 'name': 'Яндекс.Маркет'}",completed,tx-abank-00224005,Яндекс.Маркет - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-10-04T17:38:17.472711Z
